               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099113,            0.032681,                   0,            0.081161,              0.1746,            0.044362,            0.014296,            0.066744,            0.026473,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.068746,            0.029465,                   0,             0.69622,             0.26984,             0.33255,             0.11828,            0.062339,             0.01732,                   0,            0.053848,           0.0048475,           0.0048475
                   2,            0.059345,            0.025544,                   0,             0.56224,             0.81552,              0.6985,             0.28089,            0.056422,            0.012952,                   0,            0.029938,           0.0069377,           0.0069377
                   3,            0.053257,            0.023334,                   0,              0.6823,              0.8182,              0.8285,             0.34114,            0.056787,            0.011441,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.050271,            0.019886,                   0,             0.77369,             0.92063,             0.93796,             0.39411,            0.042388,           0.0094734,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.044213,            0.016871,                   0,             0.74545,             0.79026,             0.86705,             0.55249,            0.042577,            0.008068,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.040218,            0.015369,                   0,             0.87851,             0.85714,             0.94889,             0.62729,            0.035809,           0.0075655,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.035471,             0.01332,                   0,             0.96921,             0.99921,             0.97232,             0.52929,            0.028982,           0.0068067,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.031701,            0.013382,                   0,             0.99844,                   1,               0.995,             0.71199,              0.0235,           0.0061935,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.029546,            0.012621,                   0,                   1,             0.99535,               0.995,             0.73667,            0.026273,           0.0061249,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.027019,            0.011892,                   0,             0.99806,                   1,               0.995,             0.73194,            0.026003,           0.0061584,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.025296,            0.010995,                   0,             0.99786,                   1,               0.995,             0.77942,            0.020581,           0.0056929,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.024293,            0.010001,                   0,             0.99825,                   1,               0.995,             0.77282,            0.018367,           0.0054562,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.021214,           0.0098406,                   0,             0.99819,                   1,               0.995,             0.86715,            0.020594,           0.0052024,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.021297,           0.0093876,                   0,             0.99864,                   1,               0.995,             0.84677,            0.015513,           0.0050517,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.019334,            0.008771,                   0,             0.99891,                   1,               0.995,             0.87407,            0.014098,           0.0047476,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.017795,            0.008442,                   0,             0.99906,                   1,               0.995,             0.88653,            0.011474,           0.0048645,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.016848,           0.0085574,                   0,             0.99903,                   1,               0.995,             0.87417,            0.013052,           0.0047519,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.015872,           0.0083664,                   0,             0.99957,                   1,               0.995,             0.89545,             0.01141,           0.0045137,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.014749,           0.0082813,                   0,             0.99949,                   1,               0.995,             0.90206,            0.010773,           0.0043653,                   0,             0.00109,             0.00109,             0.00109
